pattern_id,pattern_name,pattern_version,description,hypothesis,detection_rule_plaintext,entry_rule_plaintext,exit_rule_plaintext,stop_rule_plaintext,take_profit_rule_plaintext,time_stop_rule_plaintext,timeframe,asset_class,universe,session_filter,min_volume_filter,min_price_filter,uses_fundamental_data,uses_news_data,uses_options_data,uses_future_data,known_risks,status,created_at,first_seen,last_seen
PATTERN_006495,DISCOVERED_SHORT_W20_C03_A088FB9B,run_unknown,"Clustered normalized OHLCV window pattern. side=short, window_size=20, cluster_id=3.",Charts close to this cluster centroid may have asymmetric forward R distribution for short setups at the tested reward/risk levels.,"Normalize OHLCV, compute local deterministic embedding for the configured daily window, standardize features, cluster historical windows with MiniBatchKMeans, and identify windows assigned to cluster 3 for window_size=20. Current matches compare scaled embedding distance to the stored centroid.",Research entry is the close of the final bar in the detected window. Current lab matches use latest close as signal/entry reference; no order is submitted by the research lab.,"Historical simulation exits at the first stop/target touch in the forward path, or at the final forward close if neither is touched. If stop and target are both touched intrabar, stop is assumed first.","1R stop based on max(1.5*ATR14, 1.5% of entry, 0.01).",Targets tested at R levels from config; best_rr currently 4.0.,Forward bars tested from discovery config; final forward close is used as time-stop fallback.,5m,US equities,data/universe_us_mid_small.csv (40 configured symbols),Regular daily bars from IBKR historical data; intraday session filter not persisted.,5000000,2,false,false,false,false,"muestras train insuficientes: 42 < 50.0; poca diversidad de símbolos: 2 < 6.0; concentracion excesiva del cluster: symbol_concentration_gt_40pct, month_concentration_gt_50pct; sin expectancy positiva en ningún R:R evaluado; profit factor débil en todos los R:R; edge insuficiente en 4R: expectancy=0.38R < 0.25R o PF=1.67 < 1.80; intervalo bootstrap débil: ci_low=-0.22R < 0.00R; riesgo de overfit alto: 0.76 > 0.65; purged combinatorial CV inestable: 0.25 < 0.50; Deflated Sharpe débil: prob=0.00 < 0.50; market replay sin expectancy positiva: -0.65R; dependencia de <=3 simbolos/eventos en invariancia causal; adversarial rejection: universe_shock; adversarial rejection: date_shock; baja probabilidad de fill estimada: 0.00; walk-forward inestable: 0.00 < 0.50; market replay deja expectancy no positiva; 5 buckets expected-fail detectados; universe shock negativo al remover simbolo dominante; date shock muestra regimen temporal fragil; out-of-sample expectancy no positiva; out-of-sample profit factor demasiado débil; tasa de 4R baja; puede requerir filtro posterior de entrada; baja tasa de trigger operativo; requiere filtro de entrada estricto; posible dependencia de pocos símbolos; posible dependencia de un solo régimen temporal; ; stored examples are representative, not a full raw event ledger; daily timestamps normalized to UTC when original bars lacked explicit timezone",rejected,2026-06-28T15:47:19.173866+00:00,2026-05-18T13:30:00-04:00,2026-06-18T13:30:00-04:00
PATTERN_000200,DISCOVERED_SHORT_W50_C10_4142FAF4,run_unknown,"Clustered normalized OHLCV window pattern. side=short, window_size=50, cluster_id=10.",Charts close to this cluster centroid may have asymmetric forward R distribution for short setups at the tested reward/risk levels.,"Normalize OHLCV, compute local deterministic embedding for the configured daily window, standardize features, cluster historical windows with MiniBatchKMeans, and identify windows assigned to cluster 10 for window_size=50. Current matches compare scaled embedding distance to the stored centroid.",Research entry is the close of the final bar in the detected window. Current lab matches use latest close as signal/entry reference; no order is submitted by the research lab.,"Historical simulation exits at the first stop/target touch in the forward path, or at the final forward close if neither is touched. If stop and target are both touched intrabar, stop is assumed first.","1R stop based on max(1.5*ATR14, 1.5% of entry, 0.01).",Targets tested at R levels from config; best_rr currently 5.0.,Forward bars tested from discovery config; final forward close is used as time-stop fallback.,1d,US equities,data/universe_us_mid_small.csv (40 configured symbols),Regular daily bars from IBKR historical data; intraday session filter not persisted.,5000000,2,false,false,false,false,"muestras insuficientes: 66 < 100; ; stored examples are representative, not a full raw event ledger; daily timestamps normalized to UTC when original bars lacked explicit timezone",rejected,2026-06-07T12:41:41.198058+00:00,2021-09-07T00:00:00+00:00,2022-11-18T00:00:00+00:00
PATTERN_000466,DISCOVERED_SHORT_W50_C00_CE8AA7CF,run_unknown,"Clustered normalized OHLCV window pattern. side=short, window_size=50, cluster_id=0.",Charts close to this cluster centroid may have asymmetric forward R distribution for short setups at the tested reward/risk levels.,"Normalize OHLCV, compute local deterministic embedding for the configured daily window, standardize features, cluster historical windows with MiniBatchKMeans, and identify windows assigned to cluster 0 for window_size=50. Current matches compare scaled embedding distance to the stored centroid.",Research entry is the close of the final bar in the detected window. Current lab matches use latest close as signal/entry reference; no order is submitted by the research lab.,"Historical simulation exits at the first stop/target touch in the forward path, or at the final forward close if neither is touched. If stop and target are both touched intrabar, stop is assumed first.","1R stop based on max(1.5*ATR14, 1.5% of entry, 0.01).",Targets tested at R levels from config; best_rr currently 5.0.,Forward bars tested from discovery config; final forward close is used as time-stop fallback.,1d,US equities,data/universe_us_mid_small.csv (40 configured symbols),Regular daily bars from IBKR historical data; intraday session filter not persisted.,5000000,2,false,false,false,false,"muestras insuficientes: 41 < 100; poca diversidad de símbolos: 6 < 8; premium/paper promotion bloqueada en discovery: requiere Director gate con trades, fills, costes y OOS limpio; ; stored examples are representative, not a full raw event ledger; daily timestamps normalized to UTC when original bars lacked explicit timezone",rejected,2026-06-08T15:51:29.686821+00:00,2021-09-15T00:00:00+00:00,2022-11-23T00:00:00+00:00
PATTERN_000410,DISCOVERED_SHORT_W50_C04_CD3D1332,run_unknown,"Clustered normalized OHLCV window pattern. side=short, window_size=50, cluster_id=4.",Charts close to this cluster centroid may have asymmetric forward R distribution for short setups at the tested reward/risk levels.,"Normalize OHLCV, compute local deterministic embedding for the configured daily window, standardize features, cluster historical windows with MiniBatchKMeans, and identify windows assigned to cluster 4 for window_size=50. Current matches compare scaled embedding distance to the stored centroid.",Research entry is the close of the final bar in the detected window. Current lab matches use latest close as signal/entry reference; no order is submitted by the research lab.,"Historical simulation exits at the first stop/target touch in the forward path, or at the final forward close if neither is touched. If stop and target are both touched intrabar, stop is assumed first.","1R stop based on max(1.5*ATR14, 1.5% of entry, 0.01).",Targets tested at R levels from config; best_rr currently 5.0.,Forward bars tested from discovery config; final forward close is used as time-stop fallback.,1d,US equities,data/universe_us_mid_small.csv (40 configured symbols),Regular daily bars from IBKR historical data; intraday session filter not persisted.,5000000,2,false,false,false,false,"muestras insuficientes: 67 < 100; poca diversidad de símbolos: 6 < 8; ; stored examples are representative, not a full raw event ledger; daily timestamps normalized to UTC when original bars lacked explicit timezone",rejected,2026-06-07T17:14:02.102623+00:00,2021-09-10T00:00:00+00:00,2023-02-13T00:00:00+00:00
PATTERN_000617,DISCOVERED_SHORT_W50_C00_989C652E,run_unknown,"Clustered normalized OHLCV window pattern. side=short, window_size=50, cluster_id=0.",Charts close to this cluster centroid may have asymmetric forward R distribution for short setups at the tested reward/risk levels.,"Normalize OHLCV, compute local deterministic embedding for the configured daily window, standardize features, cluster historical windows with MiniBatchKMeans, and identify windows assigned to cluster 0 for window_size=50. Current matches compare scaled embedding distance to the stored centroid.",Research entry is the close of the final bar in the detected window. Current lab matches use latest close as signal/entry reference; no order is submitted by the research lab.,"Historical simulation exits at the first stop/target touch in the forward path, or at the final forward close if neither is touched. If stop and target are both touched intrabar, stop is assumed first.","1R stop based on max(1.5*ATR14, 1.5% of entry, 0.01).",Targets tested at R levels from config; best_rr currently 5.0.,Forward bars tested from discovery config; final forward close is used as time-stop fallback.,1d,US equities,data/universe_us_mid_small.csv (40 configured symbols),Regular daily bars from IBKR historical data; intraday session filter not persisted.,5000000,2,false,false,false,false,"muestras insuficientes: 81 < 100; drawdown excesivo: 13.67R > 12.00R; premium/paper promotion bloqueada en discovery: requiere Director gate con trades, fills, costes y OOS limpio; ; stored examples are representative, not a full raw event ledger; daily timestamps normalized to UTC when original bars lacked explicit timezone",rejected,2026-06-09T09:22:48.206461+00:00,2021-09-15T00:00:00+00:00,2022-11-18T00:00:00+00:00
PATTERN_000103,DISCOVERED_SHORT_W50_C10_CC719DB4,run_unknown,"Clustered normalized OHLCV window pattern. side=short, window_size=50, cluster_id=10.",Charts close to this cluster centroid may have asymmetric forward R distribution for short setups at the tested reward/risk levels.,"Normalize OHLCV, compute local deterministic embedding for the configured daily window, standardize features, cluster historical windows with MiniBatchKMeans, and identify windows assigned to cluster 10 for window_size=50. Current matches compare scaled embedding distance to the stored centroid.",Research entry is the close of the final bar in the detected window. Current lab matches use latest close as signal/entry reference; no order is submitted by the research lab.,"Historical simulation exits at the first stop/target touch in the forward path, or at the final forward close if neither is touched. If stop and target are both touched intrabar, stop is assumed first.","1R stop based on max(1.5*ATR14, 1.5% of entry, 0.01).",Targets tested at R levels from config; best_rr currently 5.0.,Forward bars tested from discovery config; final forward close is used as time-stop fallback.,1d,US equities,data/universe_us_mid_small.csv (40 configured symbols),Regular daily bars from IBKR historical data; intraday session filter not persisted.,5000000,2,false,false,false,false,"muestras insuficientes: 31 < 100; poca diversidad de símbolos: 4 < 8; ; stored examples are representative, not a full raw event ledger; daily timestamps normalized to UTC when original bars lacked explicit timezone",rejected,2026-06-07T10:11:31.820662+00:00,2021-09-10T00:00:00+00:00,2023-02-13T00:00:00+00:00
PATTERN_000349,DISCOVERED_SHORT_W50_C00_DB64E1F9,run_unknown,"Clustered normalized OHLCV window pattern. side=short, window_size=50, cluster_id=0.",Charts close to this cluster centroid may have asymmetric forward R distribution for short setups at the tested reward/risk levels.,"Normalize OHLCV, compute local deterministic embedding for the configured daily window, standardize features, cluster historical windows with MiniBatchKMeans, and identify windows assigned to cluster 0 for window_size=50. Current matches compare scaled embedding distance to the stored centroid.",Research entry is the close of the final bar in the detected window. Current lab matches use latest close as signal/entry reference; no order is submitted by the research lab.,"Historical simulation exits at the first stop/target touch in the forward path, or at the final forward close if neither is touched. If stop and target are both touched intrabar, stop is assumed first.","1R stop based on max(1.5*ATR14, 1.5% of entry, 0.01).",Targets tested at R levels from config; best_rr currently 3.0.,Forward bars tested from discovery config; final forward close is used as time-stop fallback.,1d,US equities,data/universe_us_mid_small.csv (40 configured symbols),Regular daily bars from IBKR historical data; intraday session filter not persisted.,5000000,2,false,false,false,false,"poca diversidad de símbolos: 4 < 8; drawdown excesivo: 16.00R > 12.00R; ; stored examples are representative, not a full raw event ledger; daily timestamps normalized to UTC when original bars lacked explicit timezone",rejected,2026-06-07T16:32:39.271364+00:00,2021-08-19T00:00:00+00:00,2022-02-09T00:00:00+00:00
PATTERN_000807,DISCOVERED_SHORT_W50_C09_11CD4FE0,run_unknown,"Clustered normalized OHLCV window pattern. side=short, window_size=50, cluster_id=9.",Charts close to this cluster centroid may have asymmetric forward R distribution for short setups at the tested reward/risk levels.,"Normalize OHLCV, compute local deterministic embedding for the configured daily window, standardize features, cluster historical windows with MiniBatchKMeans, and identify windows assigned to cluster 9 for window_size=50. Current matches compare scaled embedding distance to the stored centroid.",Research entry is the close of the final bar in the detected window. Current lab matches use latest close as signal/entry reference; no order is submitted by the research lab.,"Historical simulation exits at the first stop/target touch in the forward path, or at the final forward close if neither is touched. If stop and target are both touched intrabar, stop is assumed first.","1R stop based on max(1.5*ATR14, 1.5% of entry, 0.01).",Targets tested at R levels from config; best_rr currently 5.0.,Forward bars tested from discovery config; final forward close is used as time-stop fallback.,1d,US equities,data/universe_us_mid_small.csv (40 configured symbols),Regular daily bars from IBKR historical data; intraday session filter not persisted.,5000000,2,false,false,false,false,"muestras insuficientes: 95 < 100; muestras efectivas insuficientes (solapamiento/pseudo-replicacion): n_eff=3.9 < 60; muestras train insuficientes: 49 < 100; significancia insuficiente: p_adj=0.28 > 0.25; Deflated Sharpe débil: prob=0.17 < 0.50; edge vs baseline débil: lift=0.71R; 11 buckets expected-fail detectados; premium/paper promotion bloqueada en discovery: requiere Director gate con trades, fills, costes y OOS limpio; ; stored examples are representative, not a full raw event ledger; daily timestamps normalized to UTC when original bars lacked explicit timezone",rejected,2026-06-17T10:53:51.291955+00:00,2021-09-01T00:00:00+00:00,2023-02-13T00:00:00+00:00
PATTERN_000223,DISCOVERED_LONG_W20_C02_6708F3E9,run_unknown,"Clustered normalized OHLCV window pattern. side=long, window_size=20, cluster_id=2.",Charts close to this cluster centroid may have asymmetric forward R distribution for long setups at the tested reward/risk levels.,"Normalize OHLCV, compute local deterministic embedding for the configured daily window, standardize features, cluster historical windows with MiniBatchKMeans, and identify windows assigned to cluster 2 for window_size=20. Current matches compare scaled embedding distance to the stored centroid.",Research entry is the close of the final bar in the detected window. Current lab matches use latest close as signal/entry reference; no order is submitted by the research lab.,"Historical simulation exits at the first stop/target touch in the forward path, or at the final forward close if neither is touched. If stop and target are both touched intrabar, stop is assumed first.","1R stop based on max(1.5*ATR14, 1.5% of entry, 0.01).",Targets tested at R levels from config; best_rr currently 5.0.,Forward bars tested from discovery config; final forward close is used as time-stop fallback.,1d,US equities,data/universe_us_mid_small.csv (40 configured symbols),Regular daily bars from IBKR historical data; intraday session filter not persisted.,5000000,2,false,false,false,false,"muestras insuficientes: 80 < 100; poca diversidad de símbolos: 4 < 8; ; stored examples are representative, not a full raw event ledger; daily timestamps normalized to UTC when original bars lacked explicit timezone",rejected,2026-06-07T13:02:42.354841+00:00,2022-08-16T00:00:00+00:00,2026-05-01T00:00:00+00:00
PATTERN_000694,DISCOVERED_SHORT_W50_C09_1305EF64,run_unknown,"Clustered normalized OHLCV window pattern. side=short, window_size=50, cluster_id=9.",Charts close to this cluster centroid may have asymmetric forward R distribution for short setups at the tested reward/risk levels.,"Normalize OHLCV, compute local deterministic embedding for the configured daily window, standardize features, cluster historical windows with MiniBatchKMeans, and identify windows assigned to cluster 9 for window_size=50. Current matches compare scaled embedding distance to the stored centroid.",Research entry is the close of the final bar in the detected window. Current lab matches use latest close as signal/entry reference; no order is submitted by the research lab.,"Historical simulation exits at the first stop/target touch in the forward path, or at the final forward close if neither is touched. If stop and target are both touched intrabar, stop is assumed first.","1R stop based on max(1.5*ATR14, 1.5% of entry, 0.01).",Targets tested at R levels from config; best_rr currently 4.0.,Forward bars tested from discovery config; final forward close is used as time-stop fallback.,1d,US equities,data/universe_us_mid_small.csv (40 configured symbols),Regular daily bars from IBKR historical data; intraday session filter not persisted.,5000000,2,false,false,false,false,"muestras insuficientes: 89 < 100; muestras efectivas insuficientes (solapamiento/pseudo-replicacion): n_eff=5.9 < 60; muestras train insuficientes: 64 < 100; significancia insuficiente: p_adj=0.28 > 0.25; adversarial rejection: shuffled_assignment_placebo; edge vs baseline débil: lift=1.09R; late entry penalty alto; 17 buckets expected-fail detectados; shuffled/placebo assignment conserva demasiado edge; tasa de 4R baja; puede requerir filtro posterior de entrada; baja tasa de trigger operativo; requiere filtro de entrada estricto; premium/paper promotion bloqueada en discovery: requiere Director gate con trades, fills, costes y OOS limpio; ; stored examples are representative, not a full raw event ledger; daily timestamps normalized to UTC when original bars lacked explicit timezone",rejected,2026-06-10T20:27:09.192833+00:00,2021-08-23T00:00:00+00:00,2022-02-25T00:00:00+00:00
