experiment_id,pattern_id,variant_id,created_at,tested_at,status,reason_status,parameters_json,dataset_start,dataset_end,in_sample_start,in_sample_end,out_of_sample_start,out_of_sample_end,paper_live_start,paper_live_end,number_of_assets_tested,number_of_events,number_of_trades,gross_pnl,net_pnl,winrate,profit_factor,sharpe,sortino,max_drawdown,candidate_trial_count,global_trial_count,adjusted_p_value,wrc_p_value,spa_p_value,fit_scope,score_input_scope,event_ledger_hash,nested_discovery_replay_status,nested_discovery_replay_implemented,nested_discovery_replay_passed,edge_claim,drift_status,active_blockers,registry_path,registry_hash,registry_previous_hash,registry_run_manifest_hash,registry_hash_chain_valid,notes
EXP_PATTERN_006495_RR_1_5,PATTERN_006495,RR_1_5,2026-06-28T15:47:19.173866+00:00,2026-06-28T15:47:19.173866+00:00,discarded,"muestras train insuficientes: 42 < 50.0; poca diversidad de símbolos: 2 < 6.0; concentracion excesiva del cluster: symbol_concentration_gt_40pct, month_concentration_gt_50pct; sin expectancy positiva en ningún R:R evaluado; profit factor débil en todos los R:R; edge insuficiente en 4R: expectancy=0.38R < 0.25R o PF=1.67 < 1.80; intervalo bootstrap débil: ci_low=-0.22R < 0.00R; riesgo de overfit alto: 0.76 > 0.65; purged combinatorial CV inestable: 0.25 < 0.50; Deflated Sharpe débil: prob=0.00 < 0.50; market replay sin expectancy positiva: -0.65R; dependencia de <=3 simbolos/eventos en invariancia causal; adversarial rejection: universe_shock; adversarial rejection: date_shock; baja probabilidad de fill estimada: 0.00; walk-forward inestable: 0.00 < 0.50; market replay deja expectancy no positiva; 5 buckets expected-fail detectados; universe shock negativo al remover simbolo dominante; date shock muestra regimen temporal fragil; out-of-sample expectancy no positiva; out-of-sample profit factor demasiado débil; tasa de 4R baja; puede requerir filtro posterior de entrada; baja tasa de trigger operativo; requiere filtro de entrada estricto; posible dependencia de pocos símbolos; posible dependencia de un solo régimen temporal","{""cluster_id"": 3, ""rr"": 1.5, ""run_params"": {}, ""side"": ""short"", ""window_size"": 20}",2026-05-18T13:30:00-04:00,2026-06-18T13:30:00-04:00,2026-05-14T11:05:00-04:00,2026-06-16T12:00:00-04:00,2026-06-16T12:55:00-04:00,2026-06-26T14:50:00-04:00,,,2,57,0,,,0.28571,1.5582,,,12.52122,84,618352,0.16374,0.15118,0.01787,"{""cluster_model"": ""train_only"", ""descriptive_all_feeds_scores"": false, ""lab_priority_score"": ""train_oos_walk_forward_only"", ""null_baseline"": ""train_population_stratified_bootstrap"", ""promotion_score"": ""train_oos_walk_forward_only"", ""rr_selection"": ""train_only"", ""scaler"": ""train_only"", ""side_selection"": ""train_metrics_only""}","{""descriptive_all_fields_used"": false, ""lab_priority_score"": [""train_metrics"", ""out_of_sample_metrics"", ""walk_forward_metrics"", ""purged_combinatorial_cv"", ""bootstrap_reality_proxy"", ""market_replay"", ""adversarial_challenge"", ""causal_invariance"", ""foundation_teacher""]}",218bd8da73614fdc620f5a42f46da9775edab4aa95b7056a065e6d9b9bb703de,required_for_finalists,false,false,NO_DEMOSTRADO,stable,,/app/reports/research/global_experiment_registry.json,3b6d9218929bc69c175aa3738deca95993b0208a57978bd2616eca059339ebc2,f55365462886d857b142b3d9efb982b6865534a53eb7e2952e0ab0885d70492f,48f40f9c8db829711d0bff51b987dfe2e19d29ba428473caeb16cc272ded9d4c,true,Research variant metrics are in R units; no paper trade PnL exists yet. out_of_sample boundaries source=selection_split.
EXP_PATTERN_006495_RR_2,PATTERN_006495,RR_2,2026-06-28T15:47:19.173866+00:00,2026-06-28T15:47:19.173866+00:00,discarded,"muestras train insuficientes: 42 < 50.0; poca diversidad de símbolos: 2 < 6.0; concentracion excesiva del cluster: symbol_concentration_gt_40pct, month_concentration_gt_50pct; sin expectancy positiva en ningún R:R evaluado; profit factor débil en todos los R:R; edge insuficiente en 4R: expectancy=0.38R < 0.25R o PF=1.67 < 1.80; intervalo bootstrap débil: ci_low=-0.22R < 0.00R; riesgo de overfit alto: 0.76 > 0.65; purged combinatorial CV inestable: 0.25 < 0.50; Deflated Sharpe débil: prob=0.00 < 0.50; market replay sin expectancy positiva: -0.65R; dependencia de <=3 simbolos/eventos en invariancia causal; adversarial rejection: universe_shock; adversarial rejection: date_shock; baja probabilidad de fill estimada: 0.00; walk-forward inestable: 0.00 < 0.50; market replay deja expectancy no positiva; 5 buckets expected-fail detectados; universe shock negativo al remover simbolo dominante; date shock muestra regimen temporal fragil; out-of-sample expectancy no positiva; out-of-sample profit factor demasiado débil; tasa de 4R baja; puede requerir filtro posterior de entrada; baja tasa de trigger operativo; requiere filtro de entrada estricto; posible dependencia de pocos símbolos; posible dependencia de un solo régimen temporal","{""cluster_id"": 3, ""rr"": 2.0, ""run_params"": {}, ""side"": ""short"", ""window_size"": 20}",2026-05-18T13:30:00-04:00,2026-06-18T13:30:00-04:00,2026-05-14T11:05:00-04:00,2026-06-16T12:00:00-04:00,2026-06-16T12:55:00-04:00,2026-06-26T14:50:00-04:00,,,2,57,0,,,0.28571,1.61112,,,12.36442,84,618352,0.16374,0.15118,0.01787,"{""cluster_model"": ""train_only"", ""descriptive_all_feeds_scores"": false, ""lab_priority_score"": ""train_oos_walk_forward_only"", ""null_baseline"": ""train_population_stratified_bootstrap"", ""promotion_score"": ""train_oos_walk_forward_only"", ""rr_selection"": ""train_only"", ""scaler"": ""train_only"", ""side_selection"": ""train_metrics_only""}","{""descriptive_all_fields_used"": false, ""lab_priority_score"": [""train_metrics"", ""out_of_sample_metrics"", ""walk_forward_metrics"", ""purged_combinatorial_cv"", ""bootstrap_reality_proxy"", ""market_replay"", ""adversarial_challenge"", ""causal_invariance"", ""foundation_teacher""]}",218bd8da73614fdc620f5a42f46da9775edab4aa95b7056a065e6d9b9bb703de,required_for_finalists,false,false,NO_DEMOSTRADO,stable,,/app/reports/research/global_experiment_registry.json,3b6d9218929bc69c175aa3738deca95993b0208a57978bd2616eca059339ebc2,f55365462886d857b142b3d9efb982b6865534a53eb7e2952e0ab0885d70492f,48f40f9c8db829711d0bff51b987dfe2e19d29ba428473caeb16cc272ded9d4c,true,Research variant metrics are in R units; no paper trade PnL exists yet. out_of_sample boundaries source=selection_split.
EXP_PATTERN_006495_RR_2_5,PATTERN_006495,RR_2_5,2026-06-28T15:47:19.173866+00:00,2026-06-28T15:47:19.173866+00:00,discarded,"muestras train insuficientes: 42 < 50.0; poca diversidad de símbolos: 2 < 6.0; concentracion excesiva del cluster: symbol_concentration_gt_40pct, month_concentration_gt_50pct; sin expectancy positiva en ningún R:R evaluado; profit factor débil en todos los R:R; edge insuficiente en 4R: expectancy=0.38R < 0.25R o PF=1.67 < 1.80; intervalo bootstrap débil: ci_low=-0.22R < 0.00R; riesgo de overfit alto: 0.76 > 0.65; purged combinatorial CV inestable: 0.25 < 0.50; Deflated Sharpe débil: prob=0.00 < 0.50; market replay sin expectancy positiva: -0.65R; dependencia de <=3 simbolos/eventos en invariancia causal; adversarial rejection: universe_shock; adversarial rejection: date_shock; baja probabilidad de fill estimada: 0.00; walk-forward inestable: 0.00 < 0.50; market replay deja expectancy no positiva; 5 buckets expected-fail detectados; universe shock negativo al remover simbolo dominante; date shock muestra regimen temporal fragil; out-of-sample expectancy no positiva; out-of-sample profit factor demasiado débil; tasa de 4R baja; puede requerir filtro posterior de entrada; baja tasa de trigger operativo; requiere filtro de entrada estricto; posible dependencia de pocos símbolos; posible dependencia de un solo régimen temporal","{""cluster_id"": 3, ""rr"": 2.5, ""run_params"": {}, ""side"": ""short"", ""window_size"": 20}",2026-05-18T13:30:00-04:00,2026-06-18T13:30:00-04:00,2026-05-14T11:05:00-04:00,2026-06-16T12:00:00-04:00,2026-06-16T12:55:00-04:00,2026-06-26T14:50:00-04:00,,,2,57,0,,,0.28571,1.69859,,,11.82337,84,618352,0.16374,0.15118,0.01787,"{""cluster_model"": ""train_only"", ""descriptive_all_feeds_scores"": false, ""lab_priority_score"": ""train_oos_walk_forward_only"", ""null_baseline"": ""train_population_stratified_bootstrap"", ""promotion_score"": ""train_oos_walk_forward_only"", ""rr_selection"": ""train_only"", ""scaler"": ""train_only"", ""side_selection"": ""train_metrics_only""}","{""descriptive_all_fields_used"": false, ""lab_priority_score"": [""train_metrics"", ""out_of_sample_metrics"", ""walk_forward_metrics"", ""purged_combinatorial_cv"", ""bootstrap_reality_proxy"", ""market_replay"", ""adversarial_challenge"", ""causal_invariance"", ""foundation_teacher""]}",218bd8da73614fdc620f5a42f46da9775edab4aa95b7056a065e6d9b9bb703de,required_for_finalists,false,false,NO_DEMOSTRADO,stable,,/app/reports/research/global_experiment_registry.json,3b6d9218929bc69c175aa3738deca95993b0208a57978bd2616eca059339ebc2,f55365462886d857b142b3d9efb982b6865534a53eb7e2952e0ab0885d70492f,48f40f9c8db829711d0bff51b987dfe2e19d29ba428473caeb16cc272ded9d4c,true,Research variant metrics are in R units; no paper trade PnL exists yet. out_of_sample boundaries source=selection_split.
EXP_PATTERN_006495_RR_3,PATTERN_006495,RR_3,2026-06-28T15:47:19.173866+00:00,2026-06-28T15:47:19.173866+00:00,discarded,"muestras train insuficientes: 42 < 50.0; poca diversidad de símbolos: 2 < 6.0; concentracion excesiva del cluster: symbol_concentration_gt_40pct, month_concentration_gt_50pct; sin expectancy positiva en ningún R:R evaluado; profit factor débil en todos los R:R; edge insuficiente en 4R: expectancy=0.38R < 0.25R o PF=1.67 < 1.80; intervalo bootstrap débil: ci_low=-0.22R < 0.00R; riesgo de overfit alto: 0.76 > 0.65; purged combinatorial CV inestable: 0.25 < 0.50; Deflated Sharpe débil: prob=0.00 < 0.50; market replay sin expectancy positiva: -0.65R; dependencia de <=3 simbolos/eventos en invariancia causal; adversarial rejection: universe_shock; adversarial rejection: date_shock; baja probabilidad de fill estimada: 0.00; walk-forward inestable: 0.00 < 0.50; market replay deja expectancy no positiva; 5 buckets expected-fail detectados; universe shock negativo al remover simbolo dominante; date shock muestra regimen temporal fragil; out-of-sample expectancy no positiva; out-of-sample profit factor demasiado débil; tasa de 4R baja; puede requerir filtro posterior de entrada; baja tasa de trigger operativo; requiere filtro de entrada estricto; posible dependencia de pocos símbolos; posible dependencia de un solo régimen temporal","{""cluster_id"": 3, ""rr"": 3.0, ""run_params"": {}, ""side"": ""short"", ""window_size"": 20}",2026-05-18T13:30:00-04:00,2026-06-18T13:30:00-04:00,2026-05-14T11:05:00-04:00,2026-06-16T12:00:00-04:00,2026-06-16T12:55:00-04:00,2026-06-26T14:50:00-04:00,,,2,57,0,,,0.2619,1.64684,,,11.28233,84,618352,0.16374,0.15118,0.01787,"{""cluster_model"": ""train_only"", ""descriptive_all_feeds_scores"": false, ""lab_priority_score"": ""train_oos_walk_forward_only"", ""null_baseline"": ""train_population_stratified_bootstrap"", ""promotion_score"": ""train_oos_walk_forward_only"", ""rr_selection"": ""train_only"", ""scaler"": ""train_only"", ""side_selection"": ""train_metrics_only""}","{""descriptive_all_fields_used"": false, ""lab_priority_score"": [""train_metrics"", ""out_of_sample_metrics"", ""walk_forward_metrics"", ""purged_combinatorial_cv"", ""bootstrap_reality_proxy"", ""market_replay"", ""adversarial_challenge"", ""causal_invariance"", ""foundation_teacher""]}",218bd8da73614fdc620f5a42f46da9775edab4aa95b7056a065e6d9b9bb703de,required_for_finalists,false,false,NO_DEMOSTRADO,stable,,/app/reports/research/global_experiment_registry.json,3b6d9218929bc69c175aa3738deca95993b0208a57978bd2616eca059339ebc2,f55365462886d857b142b3d9efb982b6865534a53eb7e2952e0ab0885d70492f,48f40f9c8db829711d0bff51b987dfe2e19d29ba428473caeb16cc272ded9d4c,true,Research variant metrics are in R units; no paper trade PnL exists yet. out_of_sample boundaries source=selection_split.
EXP_PATTERN_006495_RR_4,PATTERN_006495,RR_4,2026-06-28T15:47:19.173866+00:00,2026-06-28T15:47:19.173866+00:00,discarded,"muestras train insuficientes: 42 < 50.0; poca diversidad de símbolos: 2 < 6.0; concentracion excesiva del cluster: symbol_concentration_gt_40pct, month_concentration_gt_50pct; sin expectancy positiva en ningún R:R evaluado; profit factor débil en todos los R:R; edge insuficiente en 4R: expectancy=0.38R < 0.25R o PF=1.67 < 1.80; intervalo bootstrap débil: ci_low=-0.22R < 0.00R; riesgo de overfit alto: 0.76 > 0.65; purged combinatorial CV inestable: 0.25 < 0.50; Deflated Sharpe débil: prob=0.00 < 0.50; market replay sin expectancy positiva: -0.65R; dependencia de <=3 simbolos/eventos en invariancia causal; adversarial rejection: universe_shock; adversarial rejection: date_shock; baja probabilidad de fill estimada: 0.00; walk-forward inestable: 0.00 < 0.50; market replay deja expectancy no positiva; 5 buckets expected-fail detectados; universe shock negativo al remover simbolo dominante; date shock muestra regimen temporal fragil; out-of-sample expectancy no positiva; out-of-sample profit factor demasiado débil; tasa de 4R baja; puede requerir filtro posterior de entrada; baja tasa de trigger operativo; requiere filtro de entrada estricto; posible dependencia de pocos símbolos; posible dependencia de un solo régimen temporal","{""cluster_id"": 3, ""rr"": 4.0, ""run_params"": {}, ""side"": ""short"", ""window_size"": 20}",2026-05-18T13:30:00-04:00,2026-06-18T13:30:00-04:00,2026-05-14T11:05:00-04:00,2026-06-16T12:00:00-04:00,2026-06-16T12:55:00-04:00,2026-06-26T14:50:00-04:00,,,2,57,0,,,0.2619,1.67329,,,11.37689,84,618352,0.16374,0.15118,0.01787,"{""cluster_model"": ""train_only"", ""descriptive_all_feeds_scores"": false, ""lab_priority_score"": ""train_oos_walk_forward_only"", ""null_baseline"": ""train_population_stratified_bootstrap"", ""promotion_score"": ""train_oos_walk_forward_only"", ""rr_selection"": ""train_only"", ""scaler"": ""train_only"", ""side_selection"": ""train_metrics_only""}","{""descriptive_all_fields_used"": false, ""lab_priority_score"": [""train_metrics"", ""out_of_sample_metrics"", ""walk_forward_metrics"", ""purged_combinatorial_cv"", ""bootstrap_reality_proxy"", ""market_replay"", ""adversarial_challenge"", ""causal_invariance"", ""foundation_teacher""]}",218bd8da73614fdc620f5a42f46da9775edab4aa95b7056a065e6d9b9bb703de,required_for_finalists,false,false,NO_DEMOSTRADO,stable,,/app/reports/research/global_experiment_registry.json,3b6d9218929bc69c175aa3738deca95993b0208a57978bd2616eca059339ebc2,f55365462886d857b142b3d9efb982b6865534a53eb7e2952e0ab0885d70492f,48f40f9c8db829711d0bff51b987dfe2e19d29ba428473caeb16cc272ded9d4c,true,Research variant metrics are in R units; no paper trade PnL exists yet. out_of_sample boundaries source=selection_split.
EXP_PATTERN_006495_RR_5,PATTERN_006495,RR_5,2026-06-28T15:47:19.173866+00:00,2026-06-28T15:47:19.173866+00:00,discarded,"muestras train insuficientes: 42 < 50.0; poca diversidad de símbolos: 2 < 6.0; concentracion excesiva del cluster: symbol_concentration_gt_40pct, month_concentration_gt_50pct; sin expectancy positiva en ningún R:R evaluado; profit factor débil en todos los R:R; edge insuficiente en 4R: expectancy=0.38R < 0.25R o PF=1.67 < 1.80; intervalo bootstrap débil: ci_low=-0.22R < 0.00R; riesgo de overfit alto: 0.76 > 0.65; purged combinatorial CV inestable: 0.25 < 0.50; Deflated Sharpe débil: prob=0.00 < 0.50; market replay sin expectancy positiva: -0.65R; dependencia de <=3 simbolos/eventos en invariancia causal; adversarial rejection: universe_shock; adversarial rejection: date_shock; baja probabilidad de fill estimada: 0.00; walk-forward inestable: 0.00 < 0.50; market replay deja expectancy no positiva; 5 buckets expected-fail detectados; universe shock negativo al remover simbolo dominante; date shock muestra regimen temporal fragil; out-of-sample expectancy no positiva; out-of-sample profit factor demasiado débil; tasa de 4R baja; puede requerir filtro posterior de entrada; baja tasa de trigger operativo; requiere filtro de entrada estricto; posible dependencia de pocos símbolos; posible dependencia de un solo régimen temporal","{""cluster_id"": 3, ""rr"": 5.0, ""run_params"": {}, ""side"": ""short"", ""window_size"": 20}",2026-05-18T13:30:00-04:00,2026-06-18T13:30:00-04:00,2026-05-14T11:05:00-04:00,2026-06-16T12:00:00-04:00,2026-06-16T12:55:00-04:00,2026-06-26T14:50:00-04:00,,,2,57,0,,,0.2619,1.67329,,,11.37689,84,618352,0.16374,0.15118,0.01787,"{""cluster_model"": ""train_only"", ""descriptive_all_feeds_scores"": false, ""lab_priority_score"": ""train_oos_walk_forward_only"", ""null_baseline"": ""train_population_stratified_bootstrap"", ""promotion_score"": ""train_oos_walk_forward_only"", ""rr_selection"": ""train_only"", ""scaler"": ""train_only"", ""side_selection"": ""train_metrics_only""}","{""descriptive_all_fields_used"": false, ""lab_priority_score"": [""train_metrics"", ""out_of_sample_metrics"", ""walk_forward_metrics"", ""purged_combinatorial_cv"", ""bootstrap_reality_proxy"", ""market_replay"", ""adversarial_challenge"", ""causal_invariance"", ""foundation_teacher""]}",218bd8da73614fdc620f5a42f46da9775edab4aa95b7056a065e6d9b9bb703de,required_for_finalists,false,false,NO_DEMOSTRADO,stable,,/app/reports/research/global_experiment_registry.json,3b6d9218929bc69c175aa3738deca95993b0208a57978bd2616eca059339ebc2,f55365462886d857b142b3d9efb982b6865534a53eb7e2952e0ab0885d70492f,48f40f9c8db829711d0bff51b987dfe2e19d29ba428473caeb16cc272ded9d4c,true,Research variant metrics are in R units; no paper trade PnL exists yet. out_of_sample boundaries source=selection_split.
EXP_PATTERN_000200_RR_1_5,PATTERN_000200,RR_1_5,2026-06-07T12:41:41.198058+00:00,2026-06-07T12:41:41.198058+00:00,discarded,muestras insuficientes: 66 < 100,"{""cluster_id"": 10, ""rr"": 1.5, ""run_params"": {}, ""side"": ""short"", ""window_size"": 50}",2021-09-07T00:00:00+00:00,2022-11-18T00:00:00+00:00,2021-09-07T00:00:00+00:00,2021-09-07T00:00:00+00:00,2021-09-10T00:00:00+00:00,2022-11-18T00:00:00+00:00,,,14,66,0,,,0.57576,2.0469,,,8.0,1,618353,,,,{},{},b34f071a42128d885a9cafb61ccd4f06cc1f3711195e4f51071dc282cf9e6750,not_recorded_legacy,false,false,NO_DEMOSTRADO,stable,,audit_package:experiment_registry.csv,ed2ca55a257297200e21ae937fde2342f2f5d2d29d340e40486892a506ccfac0,,f6bba7c87153c715c9c26e6cbd3e95c85d78ebb1470aab31289246cbe54f444a,true,Research variant metrics are in R units; no paper trade PnL exists yet. event_ledger_hash derived from exported pattern_events.csv rows. registry hashes derived from audit export manifest inputs. out_of_sample boundaries source=exported_event_temporal_holdout.
EXP_PATTERN_000200_RR_2,PATTERN_000200,RR_2,2026-06-07T12:41:41.198058+00:00,2026-06-07T12:41:41.198058+00:00,discarded,muestras insuficientes: 66 < 100,"{""cluster_id"": 10, ""rr"": 2.0, ""run_params"": {}, ""side"": ""short"", ""window_size"": 50}",2021-09-07T00:00:00+00:00,2022-11-18T00:00:00+00:00,2021-09-07T00:00:00+00:00,2021-09-07T00:00:00+00:00,2021-09-10T00:00:00+00:00,2022-11-18T00:00:00+00:00,,,14,66,0,,,0.57576,2.41095,,,8.0,1,618354,,,,{},{},b34f071a42128d885a9cafb61ccd4f06cc1f3711195e4f51071dc282cf9e6750,not_recorded_legacy,false,false,NO_DEMOSTRADO,stable,,audit_package:experiment_registry.csv,55d721921a27a87f584ba7f8d88aabbb15a2fd2e294117f9f607040fa19e0b50,,f6bba7c87153c715c9c26e6cbd3e95c85d78ebb1470aab31289246cbe54f444a,true,Research variant metrics are in R units; no paper trade PnL exists yet. event_ledger_hash derived from exported pattern_events.csv rows. registry hashes derived from audit export manifest inputs. out_of_sample boundaries source=exported_event_temporal_holdout.
EXP_PATTERN_000200_RR_2_5,PATTERN_000200,RR_2_5,2026-06-07T12:41:41.198058+00:00,2026-06-07T12:41:41.198058+00:00,discarded,muestras insuficientes: 66 < 100,"{""cluster_id"": 10, ""rr"": 2.5, ""run_params"": {}, ""side"": ""short"", ""window_size"": 50}",2021-09-07T00:00:00+00:00,2022-11-18T00:00:00+00:00,2021-09-07T00:00:00+00:00,2021-09-07T00:00:00+00:00,2021-09-10T00:00:00+00:00,2022-11-18T00:00:00+00:00,,,14,66,0,,,0.56061,2.63684,,,8.0,1,618355,,,,{},{},b34f071a42128d885a9cafb61ccd4f06cc1f3711195e4f51071dc282cf9e6750,not_recorded_legacy,false,false,NO_DEMOSTRADO,stable,,audit_package:experiment_registry.csv,b10449c5e342eb59643d5ee3c67284d071d2da2d7ce949882ca7e70be7e56e8a,,f6bba7c87153c715c9c26e6cbd3e95c85d78ebb1470aab31289246cbe54f444a,true,Research variant metrics are in R units; no paper trade PnL exists yet. event_ledger_hash derived from exported pattern_events.csv rows. registry hashes derived from audit export manifest inputs. out_of_sample boundaries source=exported_event_temporal_holdout.
EXP_PATTERN_000200_RR_3,PATTERN_000200,RR_3,2026-06-07T12:41:41.198058+00:00,2026-06-07T12:41:41.198058+00:00,discarded,muestras insuficientes: 66 < 100,"{""cluster_id"": 10, ""rr"": 3.0, ""run_params"": {}, ""side"": ""short"", ""window_size"": 50}",2021-09-07T00:00:00+00:00,2022-11-18T00:00:00+00:00,2021-09-07T00:00:00+00:00,2021-09-07T00:00:00+00:00,2021-09-10T00:00:00+00:00,2022-11-18T00:00:00+00:00,,,14,66,0,,,0.56061,2.95158,,,8.0,1,618356,,,,{},{},b34f071a42128d885a9cafb61ccd4f06cc1f3711195e4f51071dc282cf9e6750,not_recorded_legacy,false,false,NO_DEMOSTRADO,stable,,audit_package:experiment_registry.csv,3634e2bebdbaa62b88aefbf38087ad45bb3c2ac0ffaf2b5fb3e1869c3cb5c17e,,f6bba7c87153c715c9c26e6cbd3e95c85d78ebb1470aab31289246cbe54f444a,true,Research variant metrics are in R units; no paper trade PnL exists yet. event_ledger_hash derived from exported pattern_events.csv rows. registry hashes derived from audit export manifest inputs. out_of_sample boundaries source=exported_event_temporal_holdout.
